./MM/Williams/pdb1HYS/pdb1HYS.mtx,36417,36417,4344765,0.602112,0.066956,129.779142
./MM/Williams/consph/consph.mtx,83334,83334,6010480,0.924672,0.095369,126.046542
./MM/Williams/cant/cant.mtx,62451,62451,4007383,1.026048,0.061073,131.231685
./MM/Williams/mc2depi/mc2depi.mtx,525825,525825,2100225,0.797696,0.047002,89.368237
./MM/Williams/webbase-1M/webbase-1M.mtx,1000005,1000005,3105536,0.803840,0.065179,95.293078
./MM/Williams/mac_econ_fwd500/mac_econ_fwd500.mtx,206500,206500,1273389,0.517120,0.023692,107.493968
./MM/Boeing/pwtk/pwtk.mtx,217918,217918,11634424,0.870400,0.147287,157.983004
./MM/Williams/cop20k_A/cop20k_A.mtx,121192,121192,2624331,0.741376,0.039814,131.829080
./MM/LAW/in-2004/in-2004.mtx,1382908,1382908,16917053,3.674112,0.221696,152.614870
./MM/Andrianov/mip1/mip1.mtx,66463,66463,10352819,2.263040,0.132609,156.140490
./MM/LAW/eu-2005/eu-2005.mtx,862664,862664,19235140,1.528832,0.252297,152.480005
./MM/PARSEC/Si41Ge41H72/Si41Ge41H72.mtx,185639,185639,15011265,0.913408,0.199819,150.248430
./MM/PARSEC/Ga41As41H72/Ga41As41H72.mtx,268096,268096,18488476,2.371584,0.253481,145.876647
./MM/Sandia/ASIC_680k/ASIC_680k.mtx,682862,682862,3871773,0.764928,0.068217,113.513710
./MM/Hamm/scircuit/scircuit.mtx,170998,170998,958936,0.595968,0.016738,114.579827
./MM/IBM_EDA/dc2/dc2.mtx,116835,116835,766396,0.484352,0.023674,64.746189
./MM/Williams/pdb1HYS/pdb1HYS.mtx,36417,36417,4344765,0.544768,0.066873,129.940114
./MM/Williams/consph/consph.mtx,83334,83334,6010480,2.398208,0.095316,126.116954
./MM/Williams/cant/cant.mtx,62451,62451,4007383,0.909312,0.061323,130.696987
./MM/Williams/mc2depi/mc2depi.mtx,525825,525825,2100225,0.750592,0.047465,88.494851
./MM/Williams/webbase-1M/webbase-1M.mtx,1000005,1000005,3105536,0.835584,0.065493,94.835678
./MM/Williams/mac_econ_fwd500/mac_econ_fwd500.mtx,206500,206500,1273389,0.460800,0.023593,107.946521
./MM/Boeing/pwtk/pwtk.mtx,217918,217918,11634424,0.904192,0.146796,158.511980
./MM/Williams/cop20k_A/cop20k_A.mtx,121192,121192,2624331,0.735232,0.039099,134.238967
./MM/LAW/in-2004/in-2004.mtx,1382908,1382908,16917053,1.883136,0.224643,150.612732
./MM/Andrianov/mip1/mip1.mtx,66463,66463,10352819,2.488320,0.132145,156.688588
./MM/LAW/eu-2005/eu-2005.mtx,862664,862664,19235140,1.525760,0.260689,147.571605
./MM/PARSEC/Si41Ge41H72/Si41Ge41H72.mtx,185639,185639,15011265,0.909312,0.205746,145.920238
./MM/PARSEC/Ga41As41H72/Ga41As41H72.mtx,268096,268096,18488476,1.005568,0.251771,146.867473
./MM/Sandia/ASIC_680k/ASIC_680k.mtx,682862,682862,3871773,1.015808,0.068149,113.626290
./MM/Hamm/scircuit/scircuit.mtx,170998,170998,958936,0.621568,0.017361,110.470801
./MM/IBM_EDA/dc2/dc2.mtx,116835,116835,766396,0.527360,0.023664,64.774208
./MM/Williams/pdb1HYS/pdb1HYS.mtx,36417,36417,4344765,0.552960,0.067204,129.300605
./MM/Williams/consph/consph.mtx,83334,83334,6010480,0.913408,0.095433,125.962693
./MM/Williams/cant/cant.mtx,62451,62451,4007383,0.871424,0.060535,132.399353
./MM/Williams/mc2depi/mc2depi.mtx,525825,525825,2100225,0.760832,0.047314,88.778315
./MM/Williams/webbase-1M/webbase-1M.mtx,1000005,1000005,3105536,0.872448,0.065721,94.506162
./MM/Williams/mac_econ_fwd500/mac_econ_fwd500.mtx,206500,206500,1273389,0.474112,0.023840,106.829081
./MM/Boeing/pwtk/pwtk.mtx,217918,217918,11634424,0.849920,0.146679,158.638126
./MM/Williams/cop20k_A/cop20k_A.mtx,121192,121192,2624331,0.661504,0.040530,129.500926
./MM/LAW/in-2004/in-2004.mtx,1382908,1382908,16917053,3.076096,0.221939,152.447984
./MM/Andrianov/mip1/mip1.mtx,66463,66463,10352819,1.004544,0.132530,156.233378
./MM/LAW/eu-2005/eu-2005.mtx,862664,862664,19235140,1.496064,0.252797,152.178594
